"統計期","一般廢棄物產生量[公噸]","一般廢棄物處理量/總計[公噸]","一般廢棄物處理量/一般垃圾清運量/合計[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/焚化[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/焚化巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/衛生掩埋[公噸]","一般廢棄物處理量/一般垃圾清運量/處理方式/衛生掩埋巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/其他[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位自行清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位自行清運巨大垃圾[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/環保單位委託清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/公私處所自行或委託清運[公噸]","一般廢棄物處理量/一般垃圾清運量/清運單位/公私處所自行或委託清運巨大垃圾[公噸]","一般廢棄物處理量/資源回收量/合計[公噸]","一般廢棄物處理量/資源回收量/環保單位[公噸]","一般廢棄物處理量/資源回收量/社區學校機關[公噸]","一般廢棄物處理量/巨大垃圾回收再利用量[公噸]","一般廢棄物處理量/廚餘回收再利用量/合計[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/堆肥[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/養豬[公噸]","一般廢棄物處理量/廚餘回收再利用量/處理方式/其他[公噸]","一般廢棄物處理量/廚餘回收再利用量/回收管道/環保單位[公噸]","一般廢棄物處理量/廚餘回收再利用量/回收管道/社區學校機關[公噸]","每人一般廢棄物產生量[公斤]","每日一般垃圾清運量[公噸]","一般廢棄物妥善處理率[%]","資源回收率[%]","垃圾清理車輛機具數[輛]","垃圾處理廠[場]回饋設施使用人次/游泳池[人次]","垃圾處理廠[場]回饋設施使用人次/健身房[人次]","清潔隊員人數[人]","清運工員人數[人]","清運人員數[人]"
"57年",311216,311216,311216,0,0,0,0,0,311216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,850,100.00,0,0,0,0,0,0,0
"58年",376514,421878,376514,1071,0,0,0,375443,376514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,1032,112.05,0,0,0,0,0,0,0
"59年",405197,405197,405197,1829,0,0,0,403368,405197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,1110,100.00,0,0,0,0,0,0,0
"60年",421878,421878,421878,0,0,0,0,421878,421878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1156,100.00,0,0,0,0,0,0,0
"61年",432610,432610,432610,2355,0,0,0,430255,432610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,1182,100.00,0,0,0,0,0,0,0
"62年",456576,456576,456576,778,0,0,0,455798,456576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,1251,100.00,0,0,0,0,0,0,0
"63年",461659,461659,461659,0,0,0,0,461659,461659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,1265,100.00,0,0,0,0,0,0,0
"64年",497930,497930,497930,0,0,0,0,497930,497930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,1364,100.00,0,0,0,0,0,0,0
"65年",509376,509376,509376,0,0,0,0,509376,509376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,1392,100.00,0,0,0,0,0,0,0
"66年",598405,598405,598405,0,0,0,0,598405,598405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,1639,100.00,0,0,0,0,0,0,0
"67年",618478,618478,618478,0,0,0,0,618478,618478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,1694,100.00,0,0,0,0,0,0,0
"68年",646736,646736,646736,0,0,0,0,646736,646736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,1772,100.00,0,0,0,0,0,0,0
"69年",656653,656653,656653,0,0,0,0,656653,656653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,1794,100.00,0,0,0,0,0,0,0
"70年",755565,755565,755565,0,0,0,0,755565,755565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,2070,100.00,0,0,0,0,0,0,0
"71年",765378,765378,765378,0,0,0,0,765378,765378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,2097,100.00,0,0,0,0,0,0,0
"72年",781886,781886,781886,0,0,0,0,781886,781886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,2142,100.00,0,0,0,0,0,0,0
"73年",838943,838943,838943,0,0,0,0,838943,838943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,2292,100.00,0,0,0,0,0,0,0
"74年",923408,923408,923408,0,0,25304,0,898104,923408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,2530,100.00,0,0,0,0,0,0,0
"75年",979781,979781,979781,0,0,979781,0,0,979781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386,2684,100.00,0,0,0,0,0,0,0
"76年",968051,968051,968051,0,0,968051,0,0,968051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,2652,100.00,0,0,0,0,0,0,0
"77年",1058903,1058903,1058903,0,0,1058903,0,0,1058903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,2893,100.00,0,3022,0,0,0,0,0
"78年",1145473,1145473,1145473,0,0,1145473,0,0,1145473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,3138,100.00,0,3072,0,0,0,0,0
"79年",1220013,1220013,1220013,914,0,1219099,0,0,1220013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,3343,100.00,0,2410,0,0,0,0,0
"80年",1321614,1321614,1321614,118882,0,1202732,0,0,1321614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,3621,100.00,0,2004,0,0,0,0,0
"81年",1408440,1351719,1408440,204749,0,1146970,0,56721,1408440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,3848,95.97,0,1897,0,0,0,0,0
"82年",1445069,1388721,1445069,202608,0,1186113,0,56348,1445069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,3959,96.10,0,1922,0,0,0,0,0
"83年",1437521,1404580,1437521,542612,0,861968,0,32941,1437521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542,3938,97.71,0,1959,0,0,0,0,0
"84年",1405933,1387724,1405933,622384,0,765340,0,18209,1405933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,3852,98.70,0,1959,0,0,0,0,0
