city,dataset_id,dataset_no,name,theme,has_location,has_time,has_numeric,data_type,main_usage,cross_city_pair,priority_score,raw_theme,service_category,dataset_type,provider_level_1,provider_level_2,provider,update_frequency,format,language,published_at,access_url,description,fields,theme_score_detail
newtaipei,292443D2-FAEF-452C-96CD-33053E7369B6,,新北市各區人數統計表,勞動福祉,True,True,True,area,就業趨勢與社福資源分析,False,4,民政,公共資訊,,,,新北市政府民政局/戶政科,每月,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/292443d2-faef-452c-96cd-33053e7369b6,新北市各區人數統計表，為新北市各里數、鄰數、戶數、男女人口、總人口的統計資料。,,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:3; 文化共融:0
newtaipei,5333CCA8-F9A7-446F-9B9A-92FEDE2FE04E,,新北市各里人數排行榜(新版),勞動福祉,True,True,True,area,就業趨勢與社福資源分析,False,4,民政,公共資訊,,,,新北市政府民政局/戶政科,每月,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/5333cca8-f9a7-446f-9b9a-92fede2fe04e,新北市各里人數排行榜，其資料內容包含各里鄰數、戶數、男女人口、總人口等資訊。,,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:3; 文化共融:0
newtaipei,69CECDB0-7796-48DF-84E5-99E4F1274245,,新北市私立托嬰機構名冊,勞動福祉,True,True,True,point,就業趨勢與社福資源分析,False,4,社福,出生及收養,,,,新北市政府社會局/兒童托育科,每年,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/69cecdb0-7796-48df-84e5-99e4f1274245,新北市政府社會局所提供的托嬰機構名冊主要提供欄位包含名稱、地址、電話、可收托人數、備註,,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:2; 文化共融:0
newtaipei,D7B568AB-3819-40C8-A6E7-A6B199443101,,新北市門牌位置數值資料,勞動福祉,True,True,False,area,就業趨勢與社福資源分析,True,4,民政,購屋及遷徙,,,,新北市政府民政局/戶政科,每月,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/d7b568ab-3819-40c8-a6e7-a6b199443101,新北市門牌號碼與門牌位置坐標等數值資料11504,,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:2; 文化共融:0
newtaipei,1642DFD2-C8C2-48A9-AA0B-61BD9A7165F8,,現住戶數、人口密度及性比例,勞動福祉,True,True,True,area,就業趨勢與社福資源分析,False,4,統計,公共資訊,,,,新北市政府主計處/公務統計科,每年,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/1642dfd2-c8c2-48a9-aa0b-61bd9a7165f8,"1.現住戶數、人口密度及性比例年
2.單位：平方公里、個、戶、人、%
3.各項欄位說明詳參新北市統計年報(網址：http://www.bas.ntpc.gov.tw/home.jsp?id=OTE=)或電洽主計處查詢。",,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:1; 文化共融:0
taipei,a5658ecc-ed0b-41b3-8b2a-301c6d6c298b,00000954,社會福利統計_臺北市兒少機構收容暨空位狀態,勞動福祉,True,True,True,point,就業趨勢與社福資源分析,False,4,社福,出生及收養,網路服務,社會局,,社會局,不定期更新,CSV,中文,2020-07-24T00:00:00,/api/dataset/a5658ecc-ed0b-41b3-8b2a-301c6d6c298b/resource/b3231553-b8b3-4e51-90fd-2cd1a4d8a656/download,兒少機構收容暨空位狀態,"序號、行政區、屬性、機構名稱、機構類型、服務對象、核定服務床位數量、可申請床位數量、說明、評鑑、地址、電話、聯絡人、網址、更新日期
",智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:3; 文化共融:0
taipei,30556fa4-9a39-4c3f-b233-cfe83f82796a,00000656,社會福利統計_臺北市政府義務採購機關採購身心障礙機構團體彙整表,勞動福祉,True,True,True,point,就業趨勢與社福資源分析,False,4,社福,公共資訊,網路服務,社會局,,社會局,每1年,CSV,中文,2015-06-24T00:00:00,/api/dataset/30556fa4-9a39-4c3f-b233-cfe83f82796a/resource/7f8088a9-69f4-4921-826c-25e46e637fde/download,相關資料呈現於臺北市政府社會局>身心障礙者服務 >優先採購身障機構團體或庇護工場生產物品及服務,機關名稱、機關代碼、單位名稱、地址、聯絡電話,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:3; 文化共融:0
taipei,3c0cd5aa-ad4b-4695-b197-f9eb3405e556,00000953,社會福利統計_臺北市身障機構收容暨空位狀態,勞動福祉,True,True,True,point,就業趨勢與社福資源分析,False,4,社福,公共資訊,網路服務,社會局,,社會局,不定期更新,CSV,中文,2020-07-23T00:00:00,/api/dataset/3c0cd5aa-ad4b-4695-b197-f9eb3405e556/resource/ffa97c0a-d918-4bc6-a00b-298c39ed4e81/download,身障機構空位狀態,序號、行政區、屬性、機構名稱、機構類型、成人日間照顧床位數量、全日型住宿床位數量、早療日間照顧、夜間型住宿床位數量、緊急短期安置床位數量、地址、網址,智慧通勤:0; 韌性防災:1; 永續環境:0; 食安健康:0; 勞動福祉:4; 文化共融:0
taipei,1442b5c9-b5b6-4964-8cc3-29c4d4ff8741,00002838,臺北市109年9月後戶籍登記案件及核發證明文件統計,勞動福祉,True,True,True,area,就業趨勢與社福資源分析,False,4,民政,公共資訊,原始資料,民政局,,民政局,每1月,"CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV",中文,2022-02-08T00:00:00,"/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/8e2093c1-7337-4081-8e74-ade05e6aed6b/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/c72c339f-2d59-44a6-b6d0-a2990bbb065f/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/4191fc22-833e-4973-9dd4-b23a25592b01/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/fde43529-7e60-4489-982d-5cf4a895cb5e/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/ffd6e890-2776-4de4-9a70-517339eb1b99/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/91e57437-47ad-45ac-b887-8276ca50ee0d/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/185df796-2284-4ac8-b841-d8f02959a6bb/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/2b7d59c8-c947-4a92-a7f0-fb0431f62e8e/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/7afc3365-95f3-4772-a545-18f1fc334f66/download,/api/dataset/1442b5c9-b5b6-4964-8cc3-29c4d4ff8741/resource/ae1e5416-ccc1-4c01-a731-a62d5f7fc000/download",臺北市各區戶籍登記案件及核發證明文件統計表(新增相同性別結婚證明書等案件統計),月份、區別、戶籍登記案件數量、國民身分證_初發補發換發數量、空白證毀損數量、門牌數量、門牌證明數量、戶口統計資料數量、催告戶籍登記數量、家暴跟騷註記、本地戶籍謄本數量、代發本市戶籍謄本數量、代發他縣市戶籍謄本數量數量、印鑑證明與登記數量、戶口名簿數量、閱覽數量、本地英文戶籍謄本數量、代發本市英文戶籍謄本、代發他縣市英文戶籍謄本、結婚證明書、英文結婚證明書、離婚證明書、英文離婚證明書、親等關聯資料、巡迴查對更正、里鄰改編改註、非現住人口處理案件、婚姻紀錄證明書、遷徙紀錄證明書、姓名更改紀錄證明書、相同性別結婚證明書、英文相同性別結婚證明書、終止結婚證明書、英文終止結婚證明書、戶籍罰鍰、單區案件總數,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:3; 文化共融:0
taipei,bc5f7ee7-a301-407f-9ea7-bca6d0a22264,00003591,臺北市113年度長青學苑秋季班課程資料,勞動福祉,True,True,True,area,就業趨勢與社福資源分析,False,4,社福,老年安養,網路服務,社會局,,社會局,不定期更新,CSV,中文,2020-12-30T00:00:00,/api/dataset/bc5f7ee7-a301-407f-9ea7-bca6d0a22264/resource/f33bb672-4f2e-4629-8d86-cfd0050a2e8a/download,提供113年度長青學苑秋季班課程資料,上課區域、中心別、課程、上課時間、指導老師、開課期間、名額數量、會員學費金額、非會員學費金額、其他優惠、報名暨上課地點、聯絡電話、分機、承辦窗口,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:1; 文化共融:0
