city,dataset_id,dataset_no,name,theme,has_location,has_time,has_numeric,data_type,main_usage,cross_city_pair,priority_score,raw_theme,service_category,dataset_type,provider_level_1,provider_level_2,provider,update_frequency,format,language,published_at,access_url,description,fields,theme_score_detail
newtaipei,47CCF63F-733F-422D-AB20-5B50E8A6F983,,新北市公共藝術,文化共融,True,True,False,area,文化活動與觀光資源分布,True,4,文化,休閒旅遊,,,,新北市政府文化局/文化設施科/設施營運股,每年,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/47ccf63f-733f-422d-ab20-5b50e8a6f983,此資料為新北市公共藝術一覽，標明創作者、設置地點、作品類型、作品材質等資訊。,,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:4
newtaipei,4A03827A-588B-4058-AB21-EC02283E2BB7,,新北市政府公報閱覽地點,文化共融,True,True,False,area,文化活動與觀光資源分布,True,4,資訊,公共資訊,,,,新北市政府秘書處/文書科,不更新,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/4a03827a-588b-4058-ab21-ec02283e2bb7,新北市政府公報出版品實體刊物於新北市各轄區圖書館閱覽室及特定公眾圖書館閱覽室提供閱覽。</br>,,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:1
newtaipei,FC30F585-66D9-4233-A65E-C650D177EBFE,,新北市有機農場,文化共融,True,True,False,point,文化活動與觀光資源分布,True,4,農業,休閒旅遊,,,,新北市政府農業局/農牧經營管理科,每年,JSON、CSV、XML、KML,中文,,https://data.ntpc.gov.tw/datasets/fc30f585-66d9-4233-a65e-c650d177ebfe,"新北市有機農場資料,含地址、電話及經營者名稱等資料",,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:1
newtaipei,B95D126D-4EE7-40F1-828C-22591CF0FF86,,新北市河濱公園行動餐車位置,文化共融,True,True,True,area,文化活動與觀光資源分布,False,4,觀光,休閒旅遊,,,,新北市政府水利局/新北市政府高灘地工程管理處/營運企劃科,不更新,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/b95d126d-4ee7-40f1-828c-22591cf0ff86,新北市河濱公園行動餐車，是仿效「國道休息站」方式把河濱公園單車道看成高速公路，行動餐車變成單車騎士的「休息站」，選擇設置地點於各定點路橋下，提供多樣化輕食，並一旁搭配設置單車租借維修站，以及流動廁所等公共設施，提供民眾更友善、多元的遊憩空間，藉此提升自行車道的品質。,,智慧通勤:2; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:4
taipei,5d54376a-591d-431f-95cb-79d44f8228b2,00002891,臺北市公共藝術,文化共融,True,True,False,point,文化活動與觀光資源分布,True,4,文化,公共資訊,原始資料,文化局,,文化局,不定期更新,JSON,中文,2020-11-13T00:00:00,https://publicart.taipei/service/artgetdata.ashx?District_tw=&completeinstallYear=&site_tw=,臺北市公共藝術資訊,序號、行政區、設置完成年度、作品名稱、作者、作品類型、設置地址/地點、設置單位/管理單位,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:3
taipei,f2e08857-4bde-4ae1-a6b5-d0778564e852,00001157,臺北市公私立游泳池及救生員位置及相關資訊,文化共融,True,True,True,point,文化活動與觀光資源分布,False,4,觀光,公共資訊,原始資料,體育局,,體育局,每1年,CSV,中文,2017-01-05T00:00:00,/api/dataset/f2e08857-4bde-4ae1-a6b5-d0778564e852/resource/17db3c4f-30bd-48be-94b8-124a0eb3ce79/download,臺北市公私立游泳池及救生員位置及相關資訊統計,編號、經度、緯度、廠商名稱_市招、經營主體、電話、分機、地址,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:3
taipei,452ee8bd-6a2a-4f52-881b-3997c55f2f8a,00001017,臺北市合法資訊休閒業者清冊,文化共融,True,True,False,point,文化活動與觀光資源分布,True,4,觀光,休閒旅遊,原始資料,產業局,商業處,產業局商業處,不定期更新,CSV,中文,2021-09-17T00:00:00,/api/dataset/452ee8bd-6a2a-4f52-881b-3997c55f2f8a/resource/9c12f3ba-fd80-40e2-9660-9f692973371a/download,臺北市內合法資訊休閒業者清冊,序號、統編、名稱、營業地址、負責人、經度、緯度,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:4
taipei,d8a7da0b-f5d5-43a8-8b25-6db7db5ca63d,00000415,臺北市市政網站整合平台之熱門活動,文化共融,True,True,True,point,文化活動與觀光資源分布,False,4,資訊,公共資訊,原始資料,資訊局,,資訊局,每1日,JSON,中文,2019-01-01T00:00:00,https://www.gov.taipei/OpenData.aspx?SN=DD102593FDB1A032,臺北市政府市政網站整合平台之熱門活動最新50筆資料,DataSN、ArticleType、FileName、Link、Source、title、內容、主辦單位、活動開始時間、活動結束時間、協辦單位、聯絡人、聯絡電話、連絡e-mail、地點、活動地址、報名方式、限制對象、人數限制、費用、購票資訊、發布單位(科室)、類別、相關檔案、title、url、相關連結、相關圖片、相關影音、活動地點經緯度、發布單位,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:1
taipei,215345fa-4364-471c-9cf9-140def405523,00000523,臺北市市民農園承租資訊,文化共融,True,True,True,point,文化活動與觀光資源分布,False,4,農業,休閒旅遊,原始資料,產業局,,產業局,不定期更新,CSV,中文,2015-05-15T00:00:00,/api/dataset/215345fa-4364-471c-9cf9-140def405523/resource/5344ee0f-d33c-44f3-bc0a-96711d9d6e91/download,臺北市市民農園承租資訊。,"農園名稱、地址、園主、電話、租位-數量
",智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:1
taipei,918de6a9-3668-4172-8756-61e59f920e73,00001152,臺北市所轄公立高中職以下有游泳池學校一覽表,文化共融,True,True,True,area,文化活動與觀光資源分布,False,4,教育,休閒旅遊,原始資料,教育局,,教育局,不定期更新,CSV,中文,2016-12-30T00:00:00,/api/dataset/918de6a9-3668-4172-8756-61e59f920e73/resource/39eb003b-c9fd-48dd-8305-97b540fcc520/download,臺北市所轄公立高中職以下有游泳池學校一覽表，有學校配置救生員員額，泳池面積,郵遞區號、行政區、單位名稱、泳池種類（1.冷水池；2.溫水池；3.新建中）、開放狀態（1.對外開放；2.未開放）、營運模式（1.委外；2.自營；3.部分時段委外）、長（m）、寬（m）、面積、配置救生員人數,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:1
taipei,6cda8d55-c0f4-4ecf-8468-36a514986765,00002497,臺北市政府客家事務委員會辦理客家文化活動統計,文化共融,True,True,True,area,文化活動與觀光資源分布,False,4,族群,公共資訊,原始資料,客委會,,客委會,不定期更新,CSV,中文,2020-11-06T00:00:00,/api/dataset/6cda8d55-c0f4-4ecf-8468-36a514986765/resource/12164d3f-fca4-4e2e-a217-5e24cfadc8c9/download,客家文化活動統計之資料,年度/月、場次數量、參與人次數量、資料提供、活動辦理地點、省市縣市鄉鎮區代碼,智慧通勤:0; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:2
