city,dataset_id,dataset_no,name,theme,has_location,has_time,has_numeric,data_type,main_usage,cross_city_pair,priority_score,raw_theme,service_category,dataset_type,provider_level_1,provider_level_2,provider,update_frequency,format,language,published_at,access_url,description,fields,theme_score_detail
newtaipei,A409E68A-9155-4C87-A535-6C3C3BA3815D,,新北市自行車道建設統計資料(新),智慧通勤,True,True,True,area,通勤地圖與交通壓力分析,False,4,交通,交通及通訊,,,,新北市政府交通局/綜合規劃科/綜合規劃科第三股,每年,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/a409e68a-9155-4c87-a535-6c3c3ba3815d,提供新北市已完成自行車道、路線、里程資料及完工期程(民國年月),,智慧通勤:5; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,c6bc8aed-557d-41d5-bfb1-8da24f78f2fb,00002442,YouBike2.0臺北市公共自行車即時資訊,智慧通勤,True,True,True,point,通勤地圖與交通壓力分析,False,4,交通,交通及通訊,原始資料,交通局,,交通局,每1分,JSON,中文,2020-10-20T00:00:00,https://tcgbusfs.blob.core.windows.net/dotapp/youbike/v2/youbike_immediate.json,YouBike2.0臺北市公共自行車即時資訊介接網址為https://tcgbusfs.blob.core.windows.net/dotapp/youbike/v2/youbike_immediate.json，檔案格式為json檔。,sno(站點代號)、sna(場站中文名稱)、quantity(場站總停車格)、available_rent_bikes(場站目前車輛數量)、sarea(場站區域)、mday(資料更新時間)、latitude(緯度)、longitude(經度)、ar(地點)、sareaen(場站區域英文)、snaen(場站名稱英文)、aren(地址英文)、available_return_bikes(空位數量)、act(全站禁用狀態)、srcUpdateTime(YouBike2.0系統發布資料更新的時間)、updateTime(大數據平台經過處理後將資料存入DB的時間)、infoTime(各場站來源資料更新時間)、infoDate(各場站來源資料更新時間),智慧通勤:7; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,eb049598-8c99-45fe-a616-6a58cb171d31,00003898,捷運萬大中和樹林線第一期工程交通即時影像位置(一工處),智慧通勤,True,True,True,point,通勤地圖與交通壓力分析,False,4,交通,交通及通訊,原始資料,捷運局,捷運局一區工程處,捷運局捷運局一區工程處,不定期更新,CSV,中文,2021-04-07T00:00:00,/api/dataset/eb049598-8c99-45fe-a616-6a58cb171d31/resource/c2037818-dafa-44e1-b322-9b9a9f6a3c57/download,捷運萬大中和樹林線第一期工程交通即時影像位置(一工處)統計表,線別、標別、車站名、監造單位、監造工務所、工地主任、聯絡電話、聯絡地址、鏡頭位置、經度、緯度、來源網址,智慧通勤:5; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,228985ae-9f28-4f63-85b3-38199359c938,00003484,聯營公車行車效率,智慧通勤,True,True,True,area,通勤地圖與交通壓力分析,False,4,交通,交通及通訊,網路服務,交通局,公運處,交通局公運處,不定期更新,CSV,中文,2020-12-01T00:00:00,/api/dataset/228985ae-9f28-4f63-85b3-38199359c938/resource/e2c9ef31-5fa3-400b-b4ea-1f35e1234cb2/download,年度、行駛路線數、平均每日營運車輛數、行駛次數（千段次）、每車每日平均（段次）、行駛里程（千公里）、每車每日平均（公里）、客運人數（千人次）、平均每日（人次）、每段次乘客（人次）、客運收入（千元）、每公里營收（元）、耗油情形（千公升）、捷運轉乘聯營公車優惠運量（千人次）,年度、行駛路線數、平均每日營運車輛數、行駛次數（千段次）、每車每日平均（段次）、行駛里程（千公里）、每車每日平均（公里）、客運人數（千人次）、平均每日（人次）、每段次乘客（人次）、客運收入（千元）、每公里營收（元）、耗油情形（千公升）、捷運轉乘聯營公車優惠運量（千人次）,智慧通勤:8; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc,00000101,臺北市10大多事故路口,智慧通勤,True,True,True,point,通勤地圖與交通壓力分析,False,4,交通,交通及通訊,原始資料,交通局,,交通局,每1年,"CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV",中文,2012-10-03T00:00:00,"/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/739c79ce-099b-4d52-afb5-1b3628ce69cb/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/815f788c-432f-46b8-a5bf-db47c0e6f9c2/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/37b4acd7-36bd-46ae-9fe1-a37c8a681a75/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/bce53cb2-1196-4224-9c1c-65f9ca745126/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/3f5da767-a0a3-44ea-9bba-3a3e04b97fb7/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/ac409199-02b1-4345-876a-c54cb144cd9f/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/8f78ff1e-8ef1-42bb-8629-1870a673b2a4/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/b8c9ed64-2305-4b08-836b-c05aa9d0aa5d/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/ed58f706-b11c-435b-816c-83fc367319fc/download,/api/dataset/0b8ff24b-2c7a-4365-8ed2-7b10bae60ebc/resource/e773d1c5-7de6-4b27-b42d-c0726b04155c/download",臺北市多事故路口係採CBI指標合值方式排序，綜合考量路口總件數、A1事故件數、A2事故件數及A3事故件數（不含息事案件）等項作加權計算得出。(112年起採交通部道安總動員CBI指標合值計算),排序、路口、行政區、郵遞區號、地址-行政區域代碼,智慧通勤:4; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,0816f991-e6c8-4da0-a789-d022fee1462b,00001378,臺北市115年度使用執照摘要,智慧通勤,True,True,True,point,通勤地圖與交通壓力分析,False,4,工務,公共資訊,原始資料,都發局,建管處,都發局建管處,每1月,XML,中文,2022-03-11T00:00:00,/api/dataset/0816f991-e6c8-4da0-a789-d022fee1462b/resource/74a8b311-906e-44c4-91fb-7f413842d4e1/download,當年度1月1日至前一個月月底使用執照摘要,執照年度、執照號碼、發照日期、原核發執照、設計人、監造人、承造人、建造類別、構造種類、使用分區、幢數、棟數、地上層數、地下層數、戶數、騎樓基地面積、其他基地面積、建築面積、法定空地面積、地上避難面積、地下避難面積、建物高度、工程金額、竣工日期、開工日期、地址、地段號、樓層、說明、停車空間說明、法令、備註說明、變更概要,智慧通勤:1; 韌性防災:1; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,2f238b4f-1b27-4085-93e9-d684ef0e2735,00001025,臺北市A1及A2交通事故資料,智慧通勤,True,True,True,point,通勤地圖與交通壓力分析,False,4,交通,交通及通訊,原始資料,警察局,交通大隊,警察局交通大隊,每1年,"CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV",中文,2021-07-01T00:00:00,"/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/4c71c50e-9851-471d-8acc-5e8362b0f8e0/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/0c6e230f-32b7-4ef4-a03c-e66ce35bfb86/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/8a319d4b-cadf-436e-8396-d1a356b6c886/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/1a08afea-6b2e-4c07-a7a2-17dfba7541f5/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/abf81068-1bb7-414f-868e-29dffd7561bf/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/341f2def-117a-481b-80f7-179a03dc296f/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/98b5e133-4478-4541-9e12-e8f721f0b03b/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/ebdbe6de-71da-4a42-aed4-21b818e79f70/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/660d29dd-1399-4898-abc5-3e624708d5e4/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/fd15b53c-b417-4217-9409-f93db1d7fed2/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/cd47ccc6-9ebc-4120-8a86-4622f653b29a/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/83d6d29c-6801-41a2-95c6-47d551646db3/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/f47c1289-9e2f-49aa-a328-37708402a9ac/download,/api/dataset/2f238b4f-1b27-4085-93e9-d684ef0e2735/resource/2b92f718-bc87-4260-9b38-68d48bf01658/download",提供臺北市A1及A2類交通事故明細。,發生年度、發生月、發生日、發生時-Hours、發生分、處理別-編號、區序、肇事地點、死亡人數、2-30日死亡人數、受傷人數、當事人序號、車種、天候、光線、道路類別、速限-速度限制、道路型態、事故位置、路面狀況1、路面狀況2、路面狀況3、道路障礙1、道路障礙2、號誌1、號誌2、車道劃分-分向、車道劃分-分道1、車道劃分-分道2、車道劃分-分道3、事故類型及型態、性別、年齡、受傷程度、主要傷處、保護裝置、行動電話、車輛用途、當事者行動狀態、駕駛資格情形、駕駛執照種類、飲酒情形、車輛撞擊部位1、車輛撞擊部位2、肇因碼-個別、肇因碼-主要、個人肇逃否、職業、座標-X、座標-Y,智慧通勤:5; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,83f11e5c-fd59-40b4-906a-47a043a373ea,00029374,臺北市YouBike2.0各行政區站位數,智慧通勤,True,True,True,area,通勤地圖與交通壓力分析,False,4,交通,交通及通訊,原始資料,交通局,,交通局,每3月,CSV,中文,2022-06-27T00:00:00,/api/dataset/83f11e5c-fd59-40b4-906a-47a043a373ea/resource/2a8b91df-963c-4a48-8a02-f2bb2797679c/download,提供臺北市YouBike2.0各行政區站位數，檔案格式為CSV檔,發布時間（民國年月）、發布機關名稱、機關代碼、行政區、站數量（站位數）,智慧通勤:4; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,fe8a0ddd-6f70-4e63-92a1-a3463c790a1b,00032038,臺北市YouBike區域互補站點,智慧通勤,True,True,True,point,通勤地圖與交通壓力分析,False,4,交通,求學及進修,原始資料,資訊局,,資訊局,不定期更新,CSV,中文,2023-11-17T00:00:00,/api/dataset/fe8a0ddd-6f70-4e63-92a1-a3463c790a1b/resource/6d38ddf5-ae05-4dab-ac24-1e05f5841b01/download,"根據YouBike交易資料計算，互補人數越高代表某兩站越可以被視為共同提供服務。
具體來說，根據卡、借/還、上午/下午將某月交易切分多個子集，逐子集使用DBSCAN(200, 2)進行分群，最後統計A站與B站在多少張卡中被分為一群。
資料分析範圍為112年7月整。",times（互補人數）、stop_id1（站點ID1）、longitude1（經度）、latitude1（緯度）、stop_id2（站點ID2）、longitude2、latitude2,智慧通勤:4; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,e521c4cb-8f72-4cd4-a53d-9bbe6fff2137,00004009,臺北市YouBike場站建置成本,智慧通勤,True,True,True,point,通勤地圖與交通壓力分析,False,4,交通,交通及通訊,原始資料,交通局,,交通局,每1年,CSV,中文,2021-09-24T00:00:00,/api/dataset/e521c4cb-8f72-4cd4-a53d-9bbe6fff2137/resource/ff1c5bd3-99d5-455c-8892-8debd0b41f26/download,提供臺北市YouBike各場站建置成本，檔案格式為csv檔,發布機關名稱、機關代碼、場站編號、站名、金額（土木施工費用）,智慧通勤:5; 韌性防災:0; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
