city,dataset_id,dataset_no,name,theme,has_location,has_time,has_numeric,data_type,main_usage,cross_city_pair,priority_score,raw_theme,service_category,dataset_type,provider_level_1,provider_level_2,provider,update_frequency,format,language,published_at,access_url,description,fields,theme_score_detail
taipei,190c03d2-642d-4899-9f3b-076eb7b33d3e,00001464,八里污水處理廠水質水量速報,永續環境,True,True,True,area,環境品質與污染熱區分析,False,4,統計,生活安全及品質,原始資料,工務局,衛工處,工務局衛工處,不定期更新,CSV,中文,2020-07-01T00:00:00,/api/dataset/190c03d2-642d-4899-9f3b-076eb7b33d3e/resource/bc008ef3-25e4-4d32-a845-9c2fdb26fe2e/download,八里污水處理廠水質水量速報(csv),西元年統計期、月、污水處理量ItemValue[立方公尺]、進流水水質pH（酸鹼值）、進流水水質水中懸浮固體量SS數值[mg/L]、進流水水質化學需氧量COD數值[mg/L]、進流水水質生化需氧量BOD5數值[mg/L]、進流水水質大腸桿菌數值[CFU/100mL]、放流水pH（酸鹼值）、放流水水質水中懸浮固體量SS數值[mg/L]、放流水水質化學需氧量COD數值[mg/L]、放流水水質生化需氧量BOD5數值[mg/L]、放流水水質大腸桿菌群數值[CFU/100mL]、回收水總使用量ItemValue[立方公尺]、回收水內部取用量ItemValue[立方公尺],智慧通勤:0; 韌性防災:0; 永續環境:2; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,ebce1e9e-373e-4550-bfef-10167fb7afee,00029438,台北市政府環境保護局毒性及關注化學物質管理法裁處案件明細,永續環境,True,True,True,area,環境品質與污染熱區分析,False,4,環保,生活安全及品質,原始資料,環保局,稽查大隊,環保局稽查大隊,每1年,CSV,中文,2022-07-26T00:00:00,/api/dataset/ebce1e9e-373e-4550-bfef-10167fb7afee/resource/ce532d16-11db-46c1-ad87-3099178c6753/download,說明違反毒性及關注化學物質管理法之裁處案件資料,序號、行為人姓名、違反日期、開立日期、違反地點、違反事實、違反法令、罰款金額,智慧通勤:0; 韌性防災:0; 永續環境:3; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,3a333a4c-2a1f-4f2b-b548-b88d84f1da80,00001055,臺北市事業廢棄物再利用者登記資料,永續環境,True,True,False,point,環境品質與污染熱區分析,True,4,環保,生活安全及品質,原始資料,環保局,,環保局,不定期更新,CSV,中文,2016-05-19T00:00:00,/api/dataset/3a333a4c-2a1f-4f2b-b548-b88d84f1da80/resource/24762c49-e8c6-4e0b-8e2c-50c4e692e6f7/download,臺北市事業廢棄物再利用者登記資料、管制編號、名稱、地址、廢棄物來源、檢核通過日期、檢核到期日期、批發零售業等資訊,序號、管制編號、機構名稱、機構電話、機構地址、再利用廢棄物、最大月再利用量（公噸/月）、廢棄物來源、再利用用途、檢核通過日期、檢核到期日期、批發零售業,智慧通勤:0; 韌性防災:0; 永續環境:3; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,f158e1bc-8400-44c2-a93a-e09361ddb7f5,00000441,臺北市公共場所飲水機資訊,永續環境,True,True,True,point,環境品質與污染熱區分析,False,4,環保,公共資訊,原始資料,環保局,,環保局,不定期更新,CSV,中文,2015-11-05T00:00:00,/api/dataset/f158e1bc-8400-44c2-a93a-e09361ddb7f5/resource/52538305-ed23-490c-8f67-3efff2d777c3/download,"提供民眾本市公共場所設置飲用水設備相關資訊，包含設置場所之地點、設置飲水機數量及管理單位聯絡方式等資訊。 自107年9月5日起「臺北市直飲臺」資料，請改由「opendata -臺北市直飲臺」介接：
https://data.taipei/dataset/detail?id=155999f2-3c5d-486b-af58-d7f4c0b0a4c9","行政區、場所名稱、場所地址、管理單位、連絡電話、場所開放時間、飲水台數、設置地點、緯度、經度
",智慧通勤:0; 韌性防災:0; 永續環境:2; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,b54c0689-61b4-4877-90c0-df0e0586c7dc,00001091,臺北市娛樂營業場所噪音告發案件點位資訊,永續環境,True,True,True,area,環境品質與污染熱區分析,False,4,環保,生活安全及品質,原始資料,環保局,,環保局,不定期更新,CSV,中文,2016-07-01T00:00:00,/api/dataset/b54c0689-61b4-4877-90c0-df0e0586c7dc/resource/a99dd1b4-a891-4641-9275-eb3d8f61e58b/download,娛樂營業場所噪音告發案件資訊,序號、行政區、稽查地點、稽查日期,智慧通勤:0; 韌性防災:0; 永續環境:3; 食安健康:1; 勞動福祉:0; 文化共融:0
taipei,3df138c3-7ecc-4293-aca8-e85d982a417b,00001224,臺北市廢棄車輛處理月報表,永續環境,True,True,True,area,環境品質與污染熱區分析,False,4,環保,交通及通訊,原始資料,環保局,,環保局,不定期更新,CSV,中文,2019-04-08T00:00:00,/api/dataset/3df138c3-7ecc-4293-aca8-e85d982a417b/resource/fbbd27b3-8245-43df-852d-872d9cf9c116/download,廢棄車輛查報拖吊統計表,月份、車種、查（通）報數量、張貼通知數量、拖吊數量、主張權益數量、移時無車數量、顏色不符數量、廠牌不符數量、地點不符數量、車號不符數量、車種不符數量、尚有號牌數量、已無號牌數量、其他數量,智慧通勤:1; 韌性防災:0; 永續環境:2; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,1fb4811b-a4ff-4a3b-97f0-8db947c27d3d,00000466,臺北市延慧書庫,永續環境,True,True,True,point,環境品質與污染熱區分析,False,4,環保,公共資訊,原始資料,環保局,,環保局,不定期更新,CSV,中文,2019-10-31T00:00:00,/api/dataset/1fb4811b-a4ff-4a3b-97f0-8db947c27d3d/resource/ca48a0c9-f6d6-4118-83c0-dc3af9412b37/download,提供民眾捐贈書籍的類別及數量資訊,序號、展示場名稱、展示場地址、參觀時間、連絡電話、備註,智慧通勤:0; 韌性防災:0; 永續環境:2; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,69d47723-071a-44ff-ae43-bde32529fc45,00029463,臺北市徵收營建工程空氣污染防制費統計,永續環境,True,True,True,point,環境品質與污染熱區分析,False,4,統計,生活安全及品質,原始資料,環保局,,環保局,每1年,ODS,中文,2022-07-11T00:00:00,/api/dataset/69d47723-071a-44ff-ae43-bde32529fc45/resource/5ff08eff-d00e-406c-9b0e-0020d127eda8/download,年度徵收金額,"年度、地區、工程類別、申報金額、申報件數、資料時間日期、更新頻率、繳費櫃檯地址、聯絡電話、分機
",智慧通勤:0; 韌性防災:0; 永續環境:2; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,70d2e6ec-14ab-4e04-bc33-bb29bf9290c9,00004054,臺北市政府產業局再生能源憑證案場統計,永續環境,True,True,True,point,環境品質與污染熱區分析,False,4,環保,生活安全及品質,原始資料,產業局,,產業局,不定期更新,CSV,中文,2021-11-29T00:00:00,/api/dataset/70d2e6ec-14ab-4e04-bc33-bb29bf9290c9/resource/543fb157-b8f6-42e8-99fd-1a3163dee92b/download,臺北市政府產業局再生能源憑證案場統計資料。,序號、產發局既有案場、地址、裝置總容量、總累計,智慧通勤:0; 韌性防災:0; 永續環境:3; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,1c01c0a5-9bd3-464b-b110-fbb6d0b26e25,00001092,臺北市營建工程噪音告發案件點位資訊,永續環境,True,True,True,area,環境品質與污染熱區分析,False,4,環保,生活安全及品質,原始資料,環保局,,環保局,不定期更新,CSV,中文,2016-07-01T00:00:00,/api/dataset/1c01c0a5-9bd3-464b-b110-fbb6d0b26e25/resource/74c83a49-8df7-4a96-9883-ecadff7df0fe/download,營建工程噪音告發資訊,序號、行政區、稽查地點、稽查日期,智慧通勤:0; 韌性防災:0; 永續環境:3; 食安健康:1; 勞動福祉:0; 文化共融:0
