city,dataset_id,dataset_no,name,theme,has_location,has_time,has_numeric,data_type,main_usage,cross_city_pair,priority_score,raw_theme,service_category,dataset_type,provider_level_1,provider_level_2,provider,update_frequency,format,language,published_at,access_url,description,fields,theme_score_detail
newtaipei,E86A3F65-CB0E-423F-80AA-B2B69A017799,,新北市藍色公路碼頭,韌性防災,True,True,False,area,災害風險與避難資源分析,True,4,水利,交通及通訊,,,,新北市政府水利局/河川計畫科,不更新,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/e86a3f65-cb0e-423f-80aa-b2b69a017799,"新北市所屬藍色公路碼頭位置資訊
",,智慧通勤:1; 韌性防災:2; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
newtaipei,FAE7F80A-B075-4977-A654-BFDC11DC4CC6,,新北市颱風期間各型移動式抽水機佈設資訊,韌性防災,True,True,True,area,災害風險與避難資源分析,False,4,水利,生活安全及品質,,,,新北市政府水利局/雨水下水道工程科,每年,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/fae7f80a-b075-4977-a654-bfdc11dc4cc6,提供本市陸上颱風警報發佈後於易積淹水地區佈設各型移動式抽水機之基本資訊(如：地區、位置、機型名稱、數量、排出口),,智慧通勤:0; 韌性防災:5; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
newtaipei,803D19E4-B252-41CC-B1A3-A91F9C60D74B,,林口區內滯洪設施位置及用地面積,韌性防災,True,True,True,area,災害風險與避難資源分析,False,4,水利,公共資訊,,,,新北市政府水利局/水利工程養護科,每年,JSON、CSV、XML,中文,,https://data.ntpc.gov.tw/datasets/803d19e4-b252-41cc-b1a3-a91f9c60d74b,"滯洪池：位於河溪湖泊內、或鄰接處、或支流上開挖出的區域，將地表逕流暫時儲存以收調節洪水功效，降低因為暴雨尖峰流量對下游低勢地區所帶來的傷害。
提供之基本資訊(如：都市計畫用地編號、總集水面積(km2)、地籍面積(m2)、滯洪池使用面積(m2)、現地使用情形) 
新增加欄位：公園 / 停車場名稱及位置",,智慧通勤:1; 韌性防災:2; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,f327232d-9230-44d0-bf0c-df151802da32,00003479,114年臺北市可供避難收容處所一覽表,韌性防災,True,True,True,point,災害風險與避難資源分析,False,4,社福,公共資訊,網路服務,社會局,,社會局,不定期更新,CSV,中文,2020-12-25T00:00:00,/api/dataset/f327232d-9230-44d0-bf0c-df151802da32/resource/3f20cc14-91a9-41de-8d03-6e019ec4d82c/download,提供114年臺北市可供避難收容處所一覽表,序號、名稱、縣市、鄉鎮、村里、門牌地址、類型、水災、震災、土石流、海嘯、救濟支站、無障礙設施、室內、室外、服務里別、容納人數、收容所面積（平方公尺）,智慧通勤:0; 韌性防災:2; 永續環境:0; 食安健康:0; 勞動福祉:1; 文化共融:0
taipei,83eecdf1-3bbb-40f9-9484-b55b700c37ef,00004092,北市警政APP_防空避難設備位置,韌性防災,True,True,True,point,災害風險與避難資源分析,False,4,統計,公共資訊,原始資料,警察局,,警察局,不定期更新,CSV,中文,2022-02-14T00:00:00,/api/dataset/83eecdf1-3bbb-40f9-9484-b55b700c37ef/resource/39ca53a1-c861-40bc-b329-fc9b28c10e01/download,北市警政APP防空避難設備位置,項次、行政區、分局、名稱、里別、地址、地下層數位址、容納人數、座標x、座標y、場所名稱,智慧通勤:0; 韌性防災:2; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,75aa4c40-db2a-47b7-8f0a-b10d4ff9788b,00000317,臺北市停水資訊(大臺北地區),韌性防災,True,True,True,area,災害風險與避難資源分析,False,4,水利,生活安全及品質,原始資料,北水處,,北水處,不定期更新,JSON,中文,2012-01-04T00:00:00,https://webs.water.gov.taipei/apps/outage.asmx/outageOpenData,大臺北地區停水資訊(臺北自來水事業處供水區域)，本項自109年8月10日起變更資料來源，請由預覽-資料存取網址https://webs.water.gov.taipei/apps/outage.asmx/outageOpenData介接大臺北地區停水資訊，下方最後更新時間係詮釋資料更新時間，實際停水時間以連結資料為準。,SW_No(停水案件系統代碼)、Date(預定停水日期起訖)、Time(預定停水時間起訖)、SW_Area(停水區域)、Title(標題)、Description(停水通知內容)、MapUrl(停水地圖)、PubDate(公告日期),智慧通勤:0; 韌性防災:2; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,d2c08bee-87f7-49b1-a914-b73e8a5e1042,00002988,臺北市公共危險物品執行情形,韌性防災,True,True,True,area,災害風險與避難資源分析,False,4,消防,公共資訊,原始資料,消防局,,消防局,每1年,CSV,中文,2020-11-09T00:00:00,/api/dataset/d2c08bee-87f7-49b1-a914-b73e8a5e1042/resource/97cb3d76-e7ea-42b7-9262-c5467af688bc/download,公共危險物品檢查情形、違規處理情形、裁處件次,縣市別、列管家數、未達30倍、30倍以上、檢查件次、合格件次、不合格件次、檢查率、合格率、不合格件次合計、不合格情形-位置構造設備、不合格情形-安全管理、不合格情形-消防安全設備、違規處理情形-限改件次、違規處理情形-舉發件次、違規處理情形-停業或停止使用、處罰鍰件次、處罰鍰金額、罰鍰收繳情形-件次、罰鍰收繳情形-金額、強制執行件次,智慧通勤:0; 韌性防災:3; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,f4c37044-5ce0-4c80-9175-69c4f9fee585,00003921,臺北市列管建築物,韌性防災,True,True,True,area,災害風險與避難資源分析,False,4,消防,公共資訊,原始資料,消防局,,消防局,不定期更新,CSV,中文,2021-06-07T00:00:00,/api/dataset/f4c37044-5ce0-4c80-9175-69c4f9fee585/resource/3cd0ff59-46aa-433e-b1d6-63d8ef48d948/download,臺北市建築物列管統計,區域別、合計、5層以下（統計數值）、6樓層（統計數值）、7樓層（統計數值）、8樓層（統計數值）、9樓層（統計數值）、10樓層（統計數值）、11樓層（統計數值）、12樓層（統計數值）、13樓層（統計數值）、14樓層（統計數值）、15樓層（統計數值）、16樓層（統計數值）、17樓層（統計數值）、18樓層（統計數值）、19樓層（統計數值）、20樓層（統計數值）、21樓層（統計數值）、22樓層（統計數值）、23樓層（統計數值）、24樓層（統計數值）、25樓層（統計數值）、26樓層（統計數值）、27樓層（統計數值）、28樓層（統計數值）、29樓層（統計數值）、30層以上（統計數值）,智慧通勤:0; 韌性防災:3; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,aaf97773-3631-40e2-b3cc-da87bf2ce1d5,00002066,臺北市可供避難收容處所一覽表,韌性防災,True,True,True,point,災害風險與避難資源分析,False,4,消防,公共資訊,原始資料,教育局,,教育局,不定期更新,CSV,中文,2021-03-25T00:00:00,/api/dataset/aaf97773-3631-40e2-b3cc-da87bf2ce1d5/resource/4c92dbd4-d259-495a-8390-52628119a4dd/download,臺北市可供避難收容處所一覽表（原各類防災任務學校一覽表）,收容所編號、名稱、縣市、鄉鎮、村里、門牌地址、類型、水災、震災、土石流、海嘯、救濟支站、無障礙設施、室內、室外、服務里別、容納人數、收容所面積（平方公尺）、聯絡人姓名、聯絡人連絡電話、管理人姓名、管理人連絡電話、備考,智慧通勤:0; 韌性防災:6; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
taipei,2f4cc0c2-dcae-4926-9139-c403cd0e3500,00002834,臺北市各年度消防緊急救護到院前心肺功能停止傷病患統計,韌性防災,True,True,True,point,災害風險與避難資源分析,False,4,消防,公共資訊,原始資料,消防局,,消防局,每1年,"CSV,CSV,CSV,CSV,CSV,CSV,CSV,CSV",中文,2022-01-08T00:00:00,"/api/dataset/2f4cc0c2-dcae-4926-9139-c403cd0e3500/resource/6fa9dda1-2b2a-438c-be8d-ccb3e4658caf/download,/api/dataset/2f4cc0c2-dcae-4926-9139-c403cd0e3500/resource/a7cc65a1-a869-4a00-9202-3b75140e91f4/download,/api/dataset/2f4cc0c2-dcae-4926-9139-c403cd0e3500/resource/f9b7a27d-105f-489f-a25a-bb8db5d20052/download,/api/dataset/2f4cc0c2-dcae-4926-9139-c403cd0e3500/resource/e82c7783-9eab-46ac-8766-2f31e4682ce8/download,/api/dataset/2f4cc0c2-dcae-4926-9139-c403cd0e3500/resource/9cf7f714-bec2-4d3a-bcf8-9cd533ae9166/download,/api/dataset/2f4cc0c2-dcae-4926-9139-c403cd0e3500/resource/8f697160-b76e-43cc-9a2e-e1e86853c077/download,/api/dataset/2f4cc0c2-dcae-4926-9139-c403cd0e3500/resource/37ff28ec-0be6-4964-badc-2fbfc3649506/download,/api/dataset/2f4cc0c2-dcae-4926-9139-c403cd0e3500/resource/c9b6acaf-73a3-47f0-bffb-05a77918d576/download",本局各年度各行政區及各場所類別OHCA人數統計,區域別、到院前心肺功能停止人數、有目擊者人數、有旁觀者CPR人數、有使用PAD人數、院前ROSC人數、住宅人數、工廠工作地點人數、運動中心人數、街道公路人數、公共建築人數、療養院人數、教育學校人數、捷運站車站機場人數、診所護理之家人數、其他人數、不清楚人數,智慧通勤:2; 韌性防災:4; 永續環境:0; 食安健康:1; 勞動福祉:0; 文化共融:0
taipei,6bed0f15-68a5-4795-978e-b2d360a7ec74,00031912,臺北市土石流雨量警戒值,韌性防災,True,True,True,area,災害風險與避難資源分析,False,4,消防,生活安全及品質,原始資料,工務局,大地處,工務局大地處,不定期更新,CSV,中文,2023-10-04T00:00:00,/api/dataset/6bed0f15-68a5-4795-978e-b2d360a7ec74/resource/153d7a17-14f8-4e03-ab8a-13430f0c93bb/download,"114年本市土石流保全住戶調查結果共涵蓋4個行政轄區、8個里、10條土石流潛勢溪流，截至114.8.31調查結果，土石流保全住戶實際居住人數總計共100戶、戶籍人數279人、實居227人。
",溪流編號、行政區、村里、土石流警戒雨量值（mm／24hr）、參考雨量站、保全住戶戶數、保全住戶人數,智慧通勤:0; 韌性防災:5; 永續環境:0; 食安健康:0; 勞動福祉:0; 文化共融:0
